Zeitstempel;Kanton;Isolierte;Kontaktpersonen in Quarantäne;Reiserückkehrer in Quarantäne;In Quarantäne total;Fälle mit Wohnsitz BS;Fälle mit Wohnsitz ausserhalb BS;Differenz Fälle mit Wohnsitz BS;Differenz Fälle mit Wohnsitz ausserhalb BS;Hospitalisierte;Hospitalisierte mit Wohnsitz BS;Hospitalisierte mit Wohnsitz ausserhalb BS;Neu Hospitalisierte;Fälle auf Intensivstation;Intubierte;Genesene;Differenz Genesene;Verstorbene;Differenz Verstorbene;Quelle;Datum;Zeit;Woche
2020-06-04T10:00:00+02:00;BS;5;92;;92;979;509;0;0;6;;;;3;;924;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-979-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-06-04;10:00;23
2020-06-05T08:45:00+02:00;BS;5;93;;93;982;509;3;0;6;;;;3;;924;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-982-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-05;08:45;23
2020-06-07T10:00:00+02:00;BS;7;14;;14;982;509;0;0;4;;;;3;;926;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-982-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-07;10:00;23
2020-06-10T09:30:00+02:00;BS;5;5;;5;983;509;0;0;4;;;;3;;928;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-983-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-06-10;09:30;24
2020-06-13T09:30:00+02:00;BS;2;4;;4;983;509;0;0;3;;3;;2;;931;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-983-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-13;09:30;24
2020-06-16T09:30:00+02:00;BS;1;0;;0;983;509;0;0;3;;3;;2;;932;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-983-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-06-16;09:30;25
2020-06-17T09:30:00+02:00;BS;2;3;;3;984;509;1;0;3;;3;;2;;932;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-984-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-17;09:30;25
2020-06-18T09:30:00+02:00;BS;1;3;;3;984;509;0;0;3;;3;;2;;933;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-984-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-06-18;09:30;25
2020-06-20T09:30:00+02:00;BS;2;4;;4;985;509;0;0;3;;3;;2;;933;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-985-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-20;09:30;25
2020-06-21T09:30:00+02:00;BS;1;4;;4;985;509;0;0;2;;2;;1;;934;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-985-bestaetigte-faelle-im-kanton-basel-stadt-gd.html https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/bisherige-lageberichte-zip.zip.download.zip/Epidemiologische_Lage_Schweiz.zip;2020-06-21;09:30;25
2020-06-23T10:00:00+02:00;BS;1;4;;4;985;509;0;0;2;;2;;1;;934;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-985-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-06-23;10:00;26
2020-06-25T09:30:00+02:00;BS;1;6;;6;985;509;0;0;2;;2;;1;;934;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-985-bestaetigte-faelle-im-kanton-basel-stadt-gd-4.html;2020-06-25;09:30;26
2020-07-01T09:15:00+02:00;BS;0;7;;7;985;510;0;0;0;;0;;0;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-01;09:15;27
2020-07-09T09:00:00+02:00;BS;13;;;46;999;510;3;0;5;;1;;1;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-09;09:00;28
2020-07-11T09:00:00+02:00;BS;18;64;20;84;1006;510;2;0;4;;0;;1;;937;2;50;0;https://www.gesundheit.bs.ch;2020-07-11;09:00;28
2020-07-12T08:45:00+02:00;BS;21;90;18;108;1008;510;2;0;3;;0;;1;;937;0;50;0;https://www.gesundheit.bs.ch https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-woechentlicher-lagebericht.pdf.download.pdf/BAG_COVID-19_Woechentliche_Lage.pdf;2020-07-12;08:45;28
2020-07-13T10:00:00+02:00;BS;19;;;138;1009;510;1;0;5;;1;;1;;940;3;50;0;https://www.gesundheit.bs.ch;2020-07-13;10:00;29
2020-07-16T08:25:00+02:00;BS;25;42;168;210;1018;510;2;0;5;;1;;2;;943;0;50;0;https://www.gesundheit.bs.ch;2020-07-16;08:25;29
2020-07-17T08:15:00+02:00;BS;23;48;188;236;1022;510;4;0;5;;1;;2;;949;6;50;0;https://www.gesundheit.bs.ch;2020-07-17;08:15;29
2020-07-20T08:45:00+02:00;BS;18;32;246;278;1026;510;1;0;7;;1;;3;;958;0;50;0;https://www.gesundheit.bs.ch;2020-07-20;08:45;30
2020-08-01T10:10:00+02:00;BS;39;33;570;603;1064;515;10;1;5;5;0;;1;;973;0;52;0;https://www.gesundheit.bs.ch;2020-08-01;10:10;31
2020-08-02T10:00:00+02:00;BS;42;41;546;587;1068;515;4;0;7;7;0;;1;;974;1;52;0;https://www.gesundheit.bs.ch https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-woechentlicher-lagebericht.pdf.download.pdf/BAG_COVID-19_Woechentliche_Lage.pdf;2020-08-02;10:00;31
2020-08-03T09:30:00+02:00;BS;42;44;467;511;1069;515;1;0;8;8;0;;1;;975;1;52;0;https://www.gesundheit.bs.ch;2020-08-03;09:30;32
2020-08-04T09:00:00+02:00;BS;45;46;527;573;1073;515;4;0;8;8;0;;1;;975;0;52;0;https://www.gesundheit.bs.ch;2020-08-04;09:00;32
2020-08-16T10:50:00+02:00;BS;59;97;451;548;1140;521;5;0;8;6;2;;0;;1028;6;53;0;https://www.gesundheit.bs.ch https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-woechentlicher-lagebericht.pdf.download.pdf/BAG_COVID-19_Woechentliche_Lage.pdf;2020-08-16;10:50;33
2020-08-19T09:00:00+02:00;BS;72;133;460;593;1160;526;11;0;10;8;2;;0;;1035;4;53;0;https://www.gesundheit.bs.ch;2020-08-19;09:00;34
2020-08-21T08:20:00+02:00;BS;77;129;343;472;1169;527;4;0;8;7;1;;0;;1039;3;53;0;https://www.gesundheit.bs.ch;2020-08-21;08:20;34
2020-08-24T09:40:00+02:00;BS;66;91;375;466;1185;527;2;0;7;6;1;;0;;1066;7;53;0;https://www.gesundheit.bs.ch;2020-08-24;09:40;35
2020-08-29T09:30:00+02:00;BS;50;68;316;384;1210;533;5;0;4;3;1;;1;;1106;11;54;1;https://www.gesundheit.bs.ch;2020-08-29;09:30;35
2020-09-01T10:00:00+02:00;BS;39;93;315;408;1219;535;4;0;4;2;2;;2;;1126;11;54;0;https://www.gesundheit.bs.ch;2020-09-01;10:00;36
2020-09-02T09:40:00+02:00;BS;47;97;284;381;1226;536;7;1;4;2;2;;2;;1126;0;54;0;https://www.gesundheit.bs.ch;2020-09-02;09:40;36
2020-09-05T09:15:00+02:00;BS;46;79;302;381;1237;541;4;2;6;4;2;;2;;1137;7;54;0;https://www.gesundheit.bs.ch;2020-09-05;09:15;36
2020-09-09T09:00:00+02:00;BS;46;83;304;387;1258;545;4;1;3;2;1;;1;;1158;4;54;0;https://www.gesundheit.bs.ch;2020-09-09;09:00;37
2020-09-12T09:00:00+02:00;BS;46;94;235;329;1265;546;0;0;3;2;1;;1;;1165;0;54;0;https://www.gesundheit.bs.ch;2020-09-12;09:00;37
2020-09-14T09:40:00+02:00;BS;46;115;249;364;1274;546;2;0;4;3;1;;1;;1174;3;54;0;https://www.gesundheit.bs.ch;2020-09-14;09:40;38
2020-09-18T09:30:00+02:00;BS;47;101;283;384;1289;549;7;2;3;2;1;;1;;1188;4;54;0;https://www.gesundheit.bs.ch;2020-09-18;09:30;38
2020-09-30T08:10:00+02:00;BS;32;63;379;442;1317;555;5;0;3;2;1;;0;;1231;3;54;0;https://www.gesundheit.bs.ch;2020-09-30;08:10;40
2020-10-04T10:20:00+02:00;BS;48;93;471;564;1346;563;7;0;1;0;1;;1;;1244;4;54;0;https://www.gesundheit.bs.ch;2020-10-04;10:20;40
2020-10-06T08:30:00+02:00;BS;54;123;555;678;1356;566;6;0;1;0;1;;1;;1248;1;54;0;https://www.gesundheit.bs.ch;2020-10-06;08:30;41
2020-10-08T08:40:00+02:00;BS;76;183;575;758;1385;572;15;0;1;0;1;;1;;1255;2;54;0;https://www.gesundheit.bs.ch;2020-10-08;08:40;41
2020-10-11T08:30:00+02:00;BS;100;280;684;964;1428;577;16;2;2;0;2;;1;;1274;10;54;0;https://www.gesundheit.bs.ch;2020-10-11;08:30;41
2020-10-13T09:15:00+02:00;BS;141;288;566;854;1483;578;21;0;12;4;8;;3;;1288;9;54;0;https://www.gesundheit.bs.ch;2020-10-13;09:15;42
2020-10-14T09:30:00+02:00;BS;161;303;631;934;1512;581;29;3;10;4;6;;3;;1297;9;54;0;https://www.gesundheit.bs.ch;2020-10-14;09:30;42
2020-10-15T08:15:00+02:00;BS;161;331;567;898;1521;591;9;10;9;3;6;;3;;1306;9;54;0;https://www.gesundheit.bs.ch;2020-10-15;08:15;42
2020-10-18T10:00:00+02:00;BS;240;368;438;806;1635;604;45;10;11;5;6;;3;;1341;14;54;0;https://www.gesundheit.bs.ch;2020-10-18;10:00;42
2020-10-19T13:00:00+02:00;BS;249;346;424;770;1667;617;32;13;17;7;10;;3;;1364;23;54;0;https://www.gesundheit.bs.ch;2020-10-19;13:00;43
2020-10-20T10:00:00+02:00;BS;262;356;445;801;1686;617;19;0;17;9;8;;2;;1370;6;54;0;https://www.gesundheit.bs.ch;2020-10-20;10:00;43
2020-10-21T09:15:00+02:00;BS;298;331;410;741;1729;622;43;5;18;9;9;;2;;1377;7;54;0;https://www.gesundheit.bs.ch;2020-10-21;09:15;43
2020-10-22T09:45:00+02:00;BS;361;323;463;786;1804;624;75;2;19;10;9;;2;;1389;12;54;0;https://www.gesundheit.bs.ch;2020-10-22;09:45;43
2020-02-27T19:17:00+01:00;BS;;;;;1;1;;;;;;;;;;;;;https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html;2020-02-27;19:17;9
2020-03-02T17:15:00+01:00;BS;;;;;1;3;0;2;;;;;;;;;;;https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html;2020-03-02;17:15;10
2020-03-11T12:00:00+01:00;BS;36;;;;49;3;16;0;13;;;;2;;4;;;;https://www.coronavirus.bs.ch/nm/2020-coronavirus-ende-der-quarantaenemassnahmen-im-fall-kita-riehen-gd.html;2020-03-11;12:00;11
2020-03-18T11:15:00+01:00;BS;;;;;181;160;17;19;40;;;;;;36;11;4;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-182-bestaetigte-faelle-im-kanton-basel-stadt-treffen-mit-allen-spitaelern-gd.html;2020-03-18;11:15;12
2020-03-22T10:30:00+01:00;BS;;;;;356;259;59;22;50;;;;;;73;16;5;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-358-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-22;10:30;12
2020-03-20T10:00:00+01:00;BS;;;;;270;227;50;32;45;;;;;;46;2;4;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-272-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-20;10:00;12
2020-03-24T09:00:00+01:00;BS;;;;;410;284;36;15;58;;;;;;105;27;5;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-414-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-24;09:00;13
2020-03-26T10:30:00+01:00;BS;;;;;501;318;39;19;74;;20;;8;;155;27;12;4;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-505-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-26;10:30;13
2020-03-30T10:00:00+02:00;BS;;;;;617;368;12;3;90;;20;;12;;263;35;15;0;https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-621-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-03-30;10:00;14
2020-04-03T08:30:00+02:00;BS;;;;;754;411;40;11;115;;22;;17;;397;47;21;2;https://www.gd.bs.ch/nm/2020-tagesbulletin-coronavirus-748-bestaetigte-faelle-im-kanton-basel-stadt-gd.html https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-771-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-04-03;08:30;14
2020-04-08T10:00:00+02:00;BS;;;;;829;447;21;17;99;;16;;14;;535;27;31;3;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-834-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-04-08;10:00;15
2020-04-22T09:45:00+02:00;BS;;;;;928;496;0;2;49;;16;;7;;786;5;45;1;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-933-bestaetigte-faelle-im-kanton-basel-stadt-gd-3.html;2020-04-22;09:45;17
2020-04-26T09:30:00+02:00;BS;;;;;940;;2;;30;;;;8;;;;46;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-941-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-04-26;09:30;17
2020-04-28T09:30:00+02:00;BS;;;;;943;497;2;0;28;;7;;7;;;;49;3;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-943-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-04-28;09:30;18
2020-05-03T10:00:00+02:00;BS;;;;;956;;1;;21;;;;5;;839;4;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-958-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-03;10:00;18
2020-05-04T10:00:00+02:00;BS;;;;;958;503;2;;22;;;;4;;840;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-958-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-04;10:00;19
2020-05-05T09:00:00+02:00;BS;;;;;959;503;1;0;21;;8;;4;;842;2;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-959-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-05;09:00;19
2020-05-06T09:30:00+02:00;BS;;;;;962;504;3;1;21;;8;;4;;868;26;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-962-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-06;09:30;19
2020-05-11T09:00:00+02:00;BS;;;;;970;505;2;;14;;;;3;;884;2;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-970-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-11;09:00;20
2020-05-12T09:50:00+02:00;BS;;;;;970;505;0;0;15;;;;3;;892;8;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-970-bestaetigte-faelle-im-kanton-basel-stadt-gd-2.html;2020-05-12;09:50;20
2020-05-13T08:30:00+02:00;BS;;;;;970;505;0;0;12;;;;3;;894;2;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-970-bestaetigte-faelle-im-kanton-basel-stadt-gd-3.html;2020-05-13;08:30;20
2020-05-16T08:30:00+02:00;BS;;;;;974;;2;;11;;;;3;;904;7;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-974-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-16;08:30;20
2020-05-19T08:30:00+02:00;BS;;;;;975;505;1;0;12;;5;;3;;916;12;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-975-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-19;08:30;21
2020-05-20T08:30:00+02:00;BS;;;;;976;505;1;0;;;;;;;916;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-976-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-20;08:30;21
2020-05-23T09:00:00+02:00;BS;;;;;976;505;0;0;6;;;;3;;916;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-976-bestaetigte-faelle-im-kanton-basel-stadt-gd-3.html;2020-05-23;09:00;21
2020-05-27T09:00:00+02:00;BS;1;6;;6;976;506;0;1;4;;;;2;;923;1;50;0;https://www.coronavirus.bs.ch//nm/2020-tagesbulletin-coronavirus-noch-drei-aktive-faelle-im-kanton-basel-stadt-gd.html;2020-05-27;09:00;22
2020-05-31T10:00:00+02:00;BS;3;73;;73;978;508;0;0;5;;;;3;;923;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-978-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-05-31;10:00;22
2020-06-06T10:00:00+02:00;BS;6;15;;15;982;509;0;0;5;;;;3;;926;2;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-982-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-06;10:00;23
2020-06-08T10:00:00+02:00;BS;4;8;;8;982;509;0;0;4;;;;3;;928;2;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-982-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-08;10:00;24
2020-06-09T10:00:00+02:00;BS;5;7;;7;983;509;1;0;4;;;;3;;928;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-983-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-09;10:00;24
2020-06-12T09:30:00+02:00;BS;3;5;;5;983;509;0;0;3;;3;;2;;930;1;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-983-bestaetigte-faelle-im-kanton-basel-stadt-gd-4.html;2020-06-12;09:30;24
2020-06-19T09:30:00+02:00;BS;2;3;;3;985;509;1;0;3;;3;;2;;933;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-985-bestaetigte-faelle-im-kanton-basel-stadt-gd.html;2020-06-19;09:30;25
2020-06-24T09:30:00+02:00;BS;1;5;;5;985;509;0;0;2;;2;;1;;934;0;50;0;https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-unveraendert-985-bestaetigte-faelle-im-kanton-basel-stadt-gd-3.html;2020-06-24;09:30;26
2020-06-26T08:50:00+02:00;BS;1;6;;6;985;509;0;0;1;;1;;1;;934;0;50;0;https://www.gesundheit.bs.ch;2020-06-26;08:50;26
2020-06-27T09:20:00+02:00;BS;1;5;;5;985;509;0;0;1;;1;;1;;934;0;50;0;https://www.gesundheit.bs.ch;2020-06-27;09:20;26
2020-06-29T09:45:00+02:00;BS;1;6;;6;985;510;0;0;1;;1;;1;;934;0;50;0;https://www.gesundheit.bs.ch;2020-06-29;09:45;27
2020-07-02T09:00:00+02:00;BS;1;7;;7;986;510;1;0;0;;0;;0;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-02;09:00;27
2020-07-03T09:30:00+02:00;BS;3;10;;10;988;510;2;0;1;;1;;0;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-03;09:30;27
2020-07-04T09:15:00+02:00;BS;4;12;;12;989;510;1;0;3;;1;;0;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-04;09:15;27
2020-07-05T09:00:00+02:00;BS;5;10;;10;990;510;1;0;3;;1;;1;;935;0;50;0;https://www.gesundheit.bs.ch https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/bisherige-lageberichte-zip.zip.download.zip/Epidemiologische_Lage_Schweiz.zip;2020-07-05;09:00;27
2020-07-06T08:15:00+02:00;BS;5;;;10;990;510;0;0;4;;1;;1;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-06;08:15;28
2020-07-08T08:15:00+02:00;BS;11;;;24;996;510;3;0;5;;1;;1;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-08;08:15;28
2020-07-10T08:15:00+02:00;BS;18;;;57;1004;510;5;0;5;;1;;1;;935;0;50;0;https://www.gesundheit.bs.ch;2020-07-10;08:15;28
2020-07-14T08:35:00+02:00;BS;24;39;130;169;1014;510;5;0;5;;1;;1;;940;0;50;0;https://www.gesundheit.bs.ch;2020-07-14;08:35;29
2020-07-18T10:00:00+02:00;BS;18;44;206;250;1024;510;2;0;6;;1;;2;;956;7;50;0;https://www.gesundheit.bs.ch;2020-07-18;10:00;29
2020-07-19T14:44:00+02:00;BS;17;32;247;279;1025;510;1;0;6;;1;;2;;958;2;50;0;https://www.gesundheit.bs.ch https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-woechentlicher-lagebericht.pdf.download.pdf/BAG_COVID-19_Woechentliche_Lage.pdf;2020-07-19;14:44;29
2020-07-21T08:45:00+02:00;BS;18;32;294;326;1032;510;6;0;6;;1;;3;;963;5;50;0;https://www.gesundheit.bs.ch;2020-07-21;08:45;30
2020-07-23T09:00:00+02:00;BS;18;35;281;316;1033;511;1;0;4;;2;;2;;964;0;51;1;https://www.gesundheit.bs.ch;2020-07-23;09:00;30
2020-07-24T08:45:00+02:00;BS;15;31;327;358;1034;511;1;0;4;;2;;2;;968;4;51;0;https://www.gesundheit.bs.ch;2020-07-24;08:45;30
2020-07-28T09:00:00+02:00;BS;16;26;427;453;1039;513;1;1;3;;2;;2;;971;2;52;0;https://www.gesundheit.bs.ch;2020-07-28;09:00;31
2020-07-31T09:35:00+02:00;BS;29;30;555;585;1054;514;2;0;5;5;0;;0;;973;1;52;0;https://www.gesundheit.bs.ch;2020-07-31;09:35;31
2020-08-08T09:30:00+02:00;BS;40;52;431;483;1083;516;1;0;8;8;0;;0;;991;3;52;0;https://www.gesundheit.bs.ch;2020-08-08;09:30;32
2020-08-10T09:45:00+02:00;BS;39;43;395;438;1087;516;2;0;8;8;0;;0;;996;1;52;0;https://www.gesundheit.bs.ch;2020-08-10;09:45;33
2020-08-11T08:45:00+02:00;BS;33;41;466;507;1092;518;5;2;9;8;1;;0;;1006;10;53;1;https://www.gesundheit.bs.ch;2020-08-11;08:45;33
2020-08-12T08:00:00+02:00;BS;32;43;497;540;1098;520;6;2;6;5;1;;0;;1013;7;53;0;https://www.gesundheit.bs.ch;2020-08-12;08:00;33
2020-08-13T09:50:00+02:00;BS;41;42;474;516;1110;520;12;0;5;4;1;;0;;1015;2;53;0;https://www.gesundheit.bs.ch;2020-08-13;09:50;33
2020-08-15T09:40:00+02:00;BS;60;76;428;504;1135;521;20;1;9;7;2;;0;;1022;0;53;0;https://www.gesundheit.bs.ch;2020-08-15;09:40;33
2020-08-17T10:30:00+02:00;BS;64;35;519;554;1144;521;4;0;8;6;2;;0;;1028;0;53;0;https://www.gesundheit.bs.ch;2020-08-17;10:30;34
2020-08-23T10:15:00+02:00;BS;71;104;357;461;1183;527;4;0;7;6;1;;0;;1059;10;53;0;https://www.gesundheit.bs.ch;2020-08-23;10:15;34
2020-08-27T09:00:00+02:00;BS;55;71;362;433;1196;528;6;1;6;5;1;;0;;1088;6;53;0;https://www.gesundheit.bs.ch;2020-08-27;09:00;35
2020-08-28T09:00:00+02:00;BS;57;60;312;372;1205;533;9;5;6;5;1;;0;;1095;7;53;0;https://www.gesundheit.bs.ch;2020-08-28;09:00;35
2020-09-03T09:30:00+02:00;BS;48;100;296;396;1229;539;3;3;5;3;2;;2;;1127;1;54;0;https://www.gesundheit.bs.ch;2020-09-03;09:30;36
2020-09-07T09:00:00+02:00;BS;42;63;325;388;1247;543;6;2;4;3;1;;1;;1151;3;54;0;https://www.gesundheit.bs.ch;2020-09-07;09:00;37
2020-09-10T09:00:00+02:00;BS;46;93;264;357;1263;546;5;1;2;1;1;;1;;1163;5;54;0;https://www.gesundheit.bs.ch;2020-09-10;09:00;37
2020-09-11T09:00:00+02:00;BS;46;94;235;329;1265;546;2;0;2;1;1;;1;;1165;2;54;0;https://www.gesundheit.bs.ch;2020-09-11;09:00;37
2020-09-13T09:40:00+02:00;BS;47;104;244;348;1272;546;7;0;4;3;1;;1;;1171;6;54;0;https://www.gesundheit.bs.ch;2020-09-13;09:40;37
2020-09-15T10:30:00+02:00;BS;46;97;249;346;1278;547;4;1;4;3;1;;1;;1178;4;54;0;https://www.gesundheit.bs.ch;2020-09-15;10:30;38
2020-09-19T08:30:00+02:00;BS;45;109;301;410;1291;549;2;0;2;2;0;;0;;1192;4;54;0;https://www.gesundheit.bs.ch;2020-09-19;08:30;38
2020-09-21T10:30:00+02:00;BS;38;80;350;430;1293;549;0;0;2;2;0;;0;;1201;4;54;0;https://www.gesundheit.bs.ch;2020-09-21;10:30;39
2020-09-22T09:00:00+02:00;BS;35;70;350;420;1296;550;3;1;2;2;0;;0;;1207;6;54;0;https://www.gesundheit.bs.ch;2020-09-22;09:00;39
2020-09-23T08:10:00+02:00;BS;33;68;389;457;1296;550;0;0;1;1;0;;0;;1209;2;54;0;https://www.gesundheit.bs.ch;2020-09-23;08:10;39
2020-09-28T08:45:00+02:00;BS;30;56;352;408;1311;553;2;0;3;2;1;;0;;1227;1;54;0;https://www.gesundheit.bs.ch;2020-09-28;08:45;40
2020-10-01T08:30:00+02:00;BS;32;74;377;451;1320;558;3;3;2;1;1;;1;;1234;3;54;0;https://www.gesundheit.bs.ch;2020-10-01;08:30;40
2020-10-05T08:50:00+02:00;BS;49;92;480;572;1350;566;4;3;1;0;1;;1;;1247;3;54;0;https://www.gesundheit.bs.ch;2020-10-05;08:50;41
2020-10-09T09:15:00+02:00;BS;89;240;661;901;1401;573;16;1;1;0;1;;1;;1258;3;54;0;https://www.gesundheit.bs.ch;2020-10-09;09:15;41
2020-10-16T08:30:00+02:00;BS;186;354;505;859;1548;594;27;3;12;6;6;;3;;1308;2;54;0;https://www.gesundheit.bs.ch;2020-10-16;08:30;42
2020-10-23T10:30:00+02:00;BS;399;538;387;925;1878;625;74;1;;;;;;;1425;36;54;0;https://www.gesundheit.bs.ch;2020-10-23;10:30;43
